word;description
why;blacklist
should;blacklist
when;blacklist
where;blacklist
than;blacklist
wasn;blacklist
ooh;blacklist
heh;blacklist
them;blacklist
were;blacklist
urn;blacklist
hmm;blacklist
unh;blacklist
why;blacklist
who;blacklist
wouldn;blacklist
you;blacklist
what;blacklist
not;blacklist
these;blacklist
doesn;blacklist
his;blacklist
to;blacklist
with;
in;
i;
he;
she;
you;
they;
we;
this;
those;
that;
who;
here;
how;
your;
her;
ant;
the;
are;
do;
did;
was;
then;
is;
no;
not;
yes;
don;
for;
all;
does;
had;
has;
didn;
isn;
but;
have;
why;
should;
when;
where;
wasn;
than;
heh;
and;
paul;
monica;
joey;
ross;
rachel;
barry;
joanie;
billy;
tony;
marco;
joan;
david;
liza;
